,count
"<jats:sec sec-type=""purpose"">",89
</jats:label>,84
<jats:title />,84
<jats:label>,84
</jats:uri>,82
"<jats:sec sec-type=""background"">",77
"<jats:list list-type=""bullet"">",74
"<jats:sec id=""abs1-13"">",73
"<jats:sec sec-type=""conclusion"">",66
"<jats:sub arrange=""stack"">",53
"<jats:sup arrange=""stack"">",53
"<jats:sec sec-type=""background and aims"">",49
<jats:abbrev>,48
</jats:abbrev>,48
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.clinicaltrials.gov"">",39
<jats:bold />,33
</jats:overline>,32
<jats:overline>,32
"<jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""species"" xlink:type=""simple"">",31
"<jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus"" xlink:type=""simple"">",29
<jats:disp-quote>,28
</jats:disp-quote>,28
"<jats:ext-link ext-link-type=""aoi"">",27
"<jats:sec sec-type=""discussion and conclusions"">",24
"<jats:sec id=""abs1-14"">",22
</jats:given-names>,18
</jats:verse-line>,18
<jats:surname>,18
</jats:name>,18
</jats:surname>,18
"<jats:name name-style=""western"">",18
<jats:verse-line>,18
<jats:inline-formula />,18
<jats:given-names>,18
"<jats:tex-math notation=""LaTeX"">",17
"<jats:sec sec-type=""discussion"">",17
<jats:styled-content>,17
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004111000429_char1"" />",16
"<jats:named-content content-type=""traslitterazione"">",16
"<jats:sec sec-type=""objective"">",15
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""cjs0807.gif"" />",15
"<jats:xref ref-type=""bibr"">",15
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.clinicaltrials.gov"" ext-link-type=""uri"">",15
<jats:sans-serif>,14
</jats:sans-serif>,14
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://www.clinicaltrials.gov"">",14
"<jats:sec sec-type=""context"">",14
"<jats:styled-content style=""e6"">",13
"<jats:sec sec-type=""design"">",12
"<jats:sec sec-type=""setting"">",12
"<jats:sec sec-type=""participants"">",11
<jats:italic />,11
"<jats:list list-type=""order"">",11
"<jats:sec sec-type=""main outcome measures"">",11
"<jats:list list-type=""number"">",10
<jats:ext-link>,10
<jats:attrib>,10
"<jats:p content-type=""fine-print"">",10
</jats:attrib>,10
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0022112008005624_char1"" />",10
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004115000389_inline1"" />",10
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004116000918_inline1"" />",8
"<jats:sec id=""st1"">",8
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0008414X00011780_inline1"" />",8
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0963548315000012_inline1"" />",8
"<jats:sec sec-type=""method"">",8
"<jats:sec sec-type=""design|methodology|approach"">",8
"<jats:sec sec-type=""originality|value"">",8
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.1459"" xlink:type=""simple"">",8
"<jats:p content-type=""no-indent"">",8
"<jats:sec sec-type=""findings"">",8
"<jats:named-content content-type=""related-content"">",7
"<jats:sec id=""st2"">",7
"<jats:italic toggle=""yes"">",7
"<jats:sec id=""abs1-15"">",7
"<jats:sec id=""st3"">",7
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0008414X00035884_inline1"" />",6
"<jats:sec sec-type=""aims"">",6
"<jats:sec sec-type=""intervention"">",6
"<jats:ext-link ext-link-type=""Erratum"" />",6
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0963548318000202_inline1"" />",6
<jats:uri>,6
</jats:fn>,6
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.anzctr.org.au"">",6
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://www.clinicaltrials.gov/"">",6
"<jats:sec sec-type=""aim"">",6
<jats:fpage>,5
"<jats:fig fig-type=""figure"" orientation=""portrait"" position=""float"">",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004108001096_inline2"">",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004108001096_inline1"">",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_crelle-2016-0069_eq_0640.png"" />",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S030500411400005X_inline1"" />",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0963548311000587_char1"" />",5
<jats:volume>,5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0022481200001857_inline01"" />",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S096354831400042X_inline1"" />",5
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_crelle-2016-0029_eq_2155.png"" />",5
<jats:issue>,5
<jats:verse-group>,5
<jats:lpage>,5
"<jats:sec sec-type=""introduction"">",5
"<jats:sec sec-type=""objectives"">",5
<jats:source>,5
"<jats:sec sec-type=""discussion and conclusion"">",5
<jats:year>,5
</jats:fpage>,5
</jats:issue>,5
</jats:mixed-citation>,5
<jats:article-title>,5
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.5230"" xlink:type=""simple"">",5
</jats:source>,5
</jats:volume>,5
</jats:lpage>,5
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.6418"" xlink:type=""simple"">",5
<jats:caption>,5
</jats:year>,5
</jats:disp-formula-group>,5
<jats:disp-formula-group>,5
</jats:verse-group>,5
</jats:caption>,5
</jats:article-title>,5
<jats:sub />,4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/forum-2011-0099_309f81eb7026f5773da8715c26f94276.png"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0017089508004230_inline1"">",4
"<jats:sup arrange=""stagger"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_crelle-2015-0115_eq_0217.png"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004113000418_inline1"" />",4
"<jats:sub arrange=""stagger"">",4
"<jats:inline-formula id=""ffm1"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004114000176_inline1"" />",4
</jats:email>,4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0022112009006089_inline1"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0963548310000453_char2"" />",4
"<jats:p xml:lang=""es"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S096354830700884X_inline1"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0963548310000155_char1"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0963548315000012_inline2"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_jgth-2018-0006_eq_0103.png"" />",4
"<jats:sec id=""st4"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004118000087_inline1"" />",4
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.8214"" xlink:type=""simple"">",4
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.targetedproteinsdb.com"" ext-link-type=""uri"">",4
"<jats:sec sec-type=""Methods"">",4
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.controlled-trials.com"" ext-link-type=""uri"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0022481200025998_inline1"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004107001041_inline5"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004107001041_inline2"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004112000485_char2"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0017089507003813_inline4"">",4
<jats:tex-math />,4
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.genome.org"" xlink:type=""simple"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0022481200001626_inline2"" />",4
"<jats:sec sec-type=""background and aim"">",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004112000485_char1"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004117000317_inline3"" />",4
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_crelle-2016-0029_eq_1262.png"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0963548310000453_char1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S147474800800011X_inline1"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0963548315000061_inline1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0022481200018326_inline1"" />",3
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.6797"" xlink:type=""simple"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""advgeom.2011.029_eq1.gif"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004107000503_inline1"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0008414X00022057_inline001"" />",3
"<jats:styled-content style=""italic-in-any-context"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_forum-2017-0008_eq_0826.png"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S002248120002020X_inline1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S002248120002020X_inline2"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0022112011000735_char1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0022112011000735_char2"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/forum-2011-0099_2251d1c285f2c6b89cbfec5802cde6f7.png"" />",3
<jats:sup />,3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S175506960900070X_xs1D49C"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S1743921307001627_inline1"">",3
"<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" page=""927"" related-article-type=""in-this-issue"" vol=""337"" xlink:href=""10.1126/science.1203601"">",3
"<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" page=""932"" related-article-type=""in-this-issue"" vol=""337"" xlink:href=""10.1126/science.1216793"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0008414X00017144_inline1"" />",3
"<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" page=""942"" related-article-type=""in-this-issue"" vol=""337"" xlink:href=""10.1126/science.1219164"">",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.isrctn.com"">",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?id=phs000007"" ext-link-type=""uri"">",3
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.17779"" xlink:type=""simple"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004118000579_inline2"" />",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.trialregister.nl"" ext-link-type=""uri"">",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://kcdb.bipm.org/"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0017089508004400_char1"" />",3
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.5305"" xlink:type=""simple"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S001708951500018X_inline1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""IZV_83_3_501ieqn2.gif"" xlink:type=""simple"" />",3
"<jats:ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.1601/nm.1713"" xlink:type=""simple"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""png"" xlink:href=""S0026461X00001924_inline3.png"" />",3
"<jats:sec sec-type=""Background and aims"">",3
"<jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""family"" xlink:type=""simple"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0017089507003813_inline5"">",3
"<jats:named-content content-type=""arabic-text"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004112000266_char1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""cjs0808.gif"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004113000091_char1"" />",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""clintrialgov"" xlink:href=""NCT00195702"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0008439500008031_inline04"" />",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://clinicaltrials.gov"" ext-link-type=""uri"">",3
"<jats:p xml:lang=""fr"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/jgt-2013-0033_be5996b8d5e8d106f415740d9aa0261c.png"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004117000317_inline1"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0305004117000317_inline2"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""IZV_83_3_501ieqn7.gif"" xlink:type=""simple"" />",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_jgth-2018-0032_eq_0185.png"" />",3
"<jats:p xml:lang=""DE"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0008439500011528_inline01"" />",3
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://ClinicalTrials.gov"">",3
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_forum-2017-0008_eq_0270.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_forum-2017-0074_eq_0503.png"" />",2
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.ClinicalTrials.gov"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S008045680002233X_inline1"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0010437X11005306_inline2"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0010437X07003478_inline1"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/jgt-2013-0033_f3baa6fe2e611736ca4043ed2b7e8331.png"" />",2
"<jats:inline-formula id=""ffm001"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/jgt-2013-0033_2a7edd08d802282e6339c08bee8c37dd.png"" />",2
"<jats:graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_zkri-2017-2053_eq_1.jpg"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_forum-2017-0074_eq_0529.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/crelle-2013-0055_070624385ff3c5fb1f6c2d51ac3ec26d.png"" />",2
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://www.isrctn.com"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_jgth-2018-0006_eq_0060.png"" />",2
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.controlled-trials.com"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/crelle-2013-0102_bdd6a2e1d4a6173f0735c409dce9c5ba.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_jgth-2018-0006_eq_0178.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_jgth-2018-0006_eq_0038.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/crelle-2013-0055_3a98ca04ba1b774ba794a30d7e0cadad.png"" />",2
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.PocilloporaBase.org"" ext-link-type=""uri"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""png"" xlink:href=""S0026461X00001924_inline5.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/crelle-2013-0045_472df10b2cba1be8afe5567bc022ed87.png"" />",2
"<jats:sec id=""s1"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""png"" xlink:href=""S0026461X00001924_inline2.png"" />",2
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""http://www.ClinicalTrials.gov"" ext-link-type=""uri"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""png"" xlink:href=""S0026461X00001109_inline04.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""png"" xlink:href=""S0026461X00001109_inline03.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_jgth-2018-0006_eq_0140.png"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_forum-2017-0074_eq_0530.png"" />",2
"<jats:sec id=""abs1-16"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S0305004107000503_inline2"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" mimetype=""image"" xlink:type=""simple"" xlink:href=""S1865243309999251_inline2"" />",2
"<jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://www.cs.ru.nl/F.Wiedijk/100/"">",2
"<jats:inline-formula id=""ffm2"">",2
"<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6370"" page=""1570"" related-article-type=""in-this-issue"" vol=""358"" xlink:href=""10.1126/science.aaq0049"">",2
"<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6370"" page=""1574"" related-article-type=""in-this-issue"" vol=""358"" xlink:href=""10.1126/science.aaq0186"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/forum-2012-0144_8fd9d8f88354066bdb348c5fa3c96b48.png"" />",2
"<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6370"" page=""1583"" related-article-type=""in-this-issue"" vol=""358"" xlink:href=""10.1126/science.aaq0073"">",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""IZV_83_3_501ieqn13.gif"" xlink:type=""simple"" />",2
"<jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" mime-subtype=""gif"" xlink:type=""simple"" xlink:href=""S0960129515000158_inline2"" />",2
